RegionId,Volume,Surface Area,Aspect Ratio,Min Point,Max Point
135,4.10065761912489,13.770285205774758,0.7028122380586338,"[46.200199127197266, 26.341699600219727, 30.22209930419922]","[47.89699935913086, 28.756000518798828, 32.522499084472656]"
136,4.267132593360314,13.594563673489139,1.268506412292143,"[0.8008049726486206, 8.361749649047852, 53.53150177001953]","[2.899739980697632, 10.016400337219238, 55.408199310302734]"
137,3.7168335442600577,12.972104562578723,2.127763797928547,"[51.00120162963867, 28.287099838256836, 56.50680160522461]","[53.96390151977539, 29.679500579833984, 58.22060012817383]"
138,3.864311434973203,13.12610310792228,1.7145233945127583,"[43.30080032348633, 12.055700302124023, 45.91350173950195]","[45.9818000793457, 13.619400024414062, 47.627899169921875]"
139,4.236889482167879,14.473244757528256,0.49338622300957663,"[16.40019989013672, 7.873020172119141, 50.577301025390625]","[17.499799728393555, 10.101699829101562, 53.195098876953125]"
140,3.9156601169147613,12.761482595554355,1.428483930546917,"[36.90039825439453, 7.0447797775268555, 47.084598541259766]","[39.19580078125, 8.651659965515137, 48.929298400878906]"
141,3.771539431141202,13.281674403795593,0.5721931283705246,"[1.0002000331878662, 6.576089859008789, 47.6161003112793]","[2.3963799476623535, 9.01613998413086, 49.895999908447266]"
142,0.9467834121344088,8.404325666133591,1.0712363353351613,"[3.7000699043273926, 16.868099212646484, 32.457298278808594]","[5.356629848480225, 18.414499282836914, 34.60540008544922]"
143,4.067706323534939,13.023980843555108,1.4224892859116647,"[23.20439910888672, 6.2805399894714355, 47.97100067138672]","[25.499500274658203, 7.893980026245117, 49.81529998779297]"
144,3.3468530034015647,12.228157866359492,2.4739461635972537,"[4.6326398849487305, 13.447999954223633, 53.98680114746094]","[8.040499687194824, 14.825499534606934, 55.54180145263672]"
145,3.650212074205781,12.567419431924145,1.7278559211038924,"[45.600399017333984, 16.5447998046875, 22.605100631713867]","[48.265098571777344, 18.086999893188477, 24.377899169921875]"
146,2.2533789423443187,13.531446965275956,0.44172577559219534,"[46.73830032348633, 20.088899612426758, 56.83789825439453]","[48.299800872802734, 23.623899459838867, 59.09379959106445]"
147,3.6352009141989736,12.63102256073648,0.7459610729557681,"[3.700200080871582, 7.781089782714844, 22.707000732421875]","[5.383319854736328, 10.037400245666504, 24.81920051574707]"
148,4.161400975328189,13.1864464510145,1.0578787426719707,"[2.0002200603485107, 1.087440013885498, 42.69240188598633]","[3.7990899085998535, 2.7878899574279785, 44.88629913330078]"
149,3.515018995699365,12.235989388523661,1.9523203093054768,"[5.105669975280762, 5.425419807434082, 48.08319854736328]","[7.890069961547852, 6.851620197296143, 49.66130065917969]"
150,3.2934034397314558,11.833509266662443,2.223910098305773,"[10.711999893188477, 1.1664400100708008, 44.391998291015625]","[13.66919994354248, 2.4961700439453125, 46.00680160522461]"
151,3.4073527203370855,12.138948392410201,2.2304548884684574,"[28.510400772094727, 6.403629779815674, 33.286399841308594]","[31.48419952392578, 7.7368998527526855, 34.9630012512207]"
152,3.8413910380467176,12.696172757936857,0.9553113790887824,"[34.70330047607422, 4.283999919891357, 50.063201904296875]","[36.49980163574219, 6.164539813995361, 52.133201599121094]"
153,3.32809823278037,11.640732801730124,1.7384294164444756,"[2.7013800144195557, 14.204299926757812, 48.39670181274414]","[5.191679954528809, 15.636799812316895, 50.09170150756836]"
154,4.096514106185863,14.372315614358087,0.6282226367260296,"[0.04753189906477928, 3.27374005317688, 50.5713996887207]","[1.3997999429702759, 5.426270008087158, 52.93239974975586]"
155,3.3157748898124435,12.291269722616677,0.5916142429981669,"[44.21009826660156, 5.704850196838379, 38.97829818725586]","[45.59980010986328, 8.053850173950195, 41.249298095703125]"
156,3.3541392701151076,11.949732773499433,1.511508866387389,"[9.814749717712402, 9.135939598083496, 42.13169860839844]","[12.199700355529785, 10.713800430297852, 43.98870086669922]"
157,3.1460762451805575,11.591325745482235,1.0058380741808064,"[47.027099609375, 6.753200054168701, 28.282100677490234]","[48.89979934692383, 8.615030288696289, 30.44890022277832]"
158,54.7640459698643,13.242110170257822,0.6345893213341723,"[57.42430114746094, 15.182700157165527, 53.433998107910156]","[59.03139877319336, 17.715200424194336, 56.31169891357422]"
159,3.219622606796386,11.105350620122177,1.4088014240569777,"[20.605100631713867, 7.061270236968994, 49.86240005493164]","[22.699199676513672, 8.547710418701172, 51.618499755859375]"
160,3.321823513647233,12.94306204046725,1.4540785335163418,"[26.500200271606445, 0.001960410038009286, 46.28139877319336]","[28.677900314331055, 1.4996099472045898, 48.53850173950195]"
